"model","num_param","memT","memR","memA","memM","energy","co2","train_time","infer_time","test_00","inf_time","tr_acc","test_01","test_02","test_03","test_04","test_05","test_06","test_07","test_08","test_09","type","efficient","dataset"
"convmixer_768_32",21110248,25.435111424,17.53219072,0.368451072,17.035603968,0.255269586556,20.868288700937,156.356739044189,0,0.657762096774194,12.4365992307663,0.749663978406828,0.677923387096774,0.683971774193548,0.693548387096774,0.692036290322581,0.696572580645161,0.700100806451613,0.708165322580645,0.706653225806452,0.714717741935484,"CNN",0,"derma"
"vgg11",132863336,25.435111424,6.3438848,2.105291776,4.5001728,0.04618553924,2.447833579736,29.0975155830383,0,0.669354838709677,2.09216182231903,0.808334253694369,0.675907258064516,0.686491935483871,0.697076612903226,0.686995967741936,0.683971774193548,0.705141129032258,0.712701612903226,0.707157258064516,0.714717741935484,"CNN",0,"derma"
"cspdarknet53",27642184,25.435111424,6.828326912,0.477188608,5.62173696,0.043367464509,3.426029696248,26.9312491416931,0,0.677923387096774,2.12404944896698,0.731109147202479,0.683467741935484,0.6875,0.681451612903226,0.683467741935484,0.67741935483871,0.680443548387097,0.675907258064516,0.708165322580645,0.715221774193548,"Other",1,"derma"
"dla102",33268888,25.435111424,7.153385472,0.549003776,6.310932992,0.058045593574,3.947100363041,35.8429381847382,0,0.610383064516129,2.8982419013977,0.735679960141988,0.646673387096774,0.670866935483871,0.667338709677419,0.683467741935484,0.669858870967742,0.675403225806452,0.686995967741936,0.693548387096774,0.715725806451613,"CNN",0,"derma"
"resnet61q",36846968,25.435111424,7.574913024,0.612112896,6.56817664,0.050071071474,3.20454857434,31.3713023662567,0,0.670362903225807,2.33270871639252,0.856864044655404,0.692540322580645,0.715725806451613,0.727822580645161,0.724798387096774,0.729334677419355,0.742439516129032,0.736895161290323,0.720766129032258,0.717741935483871,"CNN",0,"derma"
"cspresnext50",20569896,25.435111424,5.58891008,0.343492096,5.199911936,0.038347470368,2.914407747982,24.0608696937561,0,0.68195564516129,1.82300088405609,0.7662210927162,0.678427419354839,0.696068548387097,0.709173387096774,0.725302419354839,0.724798387096774,0.724798387096774,0.731854838709677,0.719254032258065,0.718245967741936,"CNN",0,"derma"
"cs3darknet_focus_l",21151720,25.435111424,3.812622336,0.371070464,3.558042624,0.027605784129,2.374097435076,17.3195171356201,0,0.667338709677419,1.33289821147919,0.739385402910241,0.677923387096774,0.683971774193548,0.680947580645161,0.702620967741936,0.720262096774194,0.712701612903226,0.711693548387097,0.704637096774194,0.718245967741936,"CNN",0,"derma"
"wide_resnet50_2",68883240,25.435111424,6.398410752,1.128606208,5.679486976,0.064918171873,4.219681171727,40.1621541976929,0,0.673891129032258,3.20956380367279,0.764366069885149,0.685483870967742,0.71320564516129,0.718245967741936,0.699596774193548,0.723286290322581,0.709677419354839,0.700100806451613,0.730846774193548,0.719758064516129,"CNN",0,"derma"
"gluon_seresnext50_32x4d",27559896,25.435111424,6.601834496,0.4551296,6.05891584,0.05286159724,4.096773786091,32.6731207370758,0,0.688004032258065,2.44996848106384,0.795915267238878,0.695564516129032,0.709173387096774,0.711189516129032,0.711693548387097,0.725302419354839,0.727318548387097,0.731854838709677,0.704133064516129,0.720262096774194,"CNN",0,"derma"
"gluon_resnext101_32x4d",44177704,25.435111424,8.055160832,0.725233664,7.61825024,0.074546356986,3.950956920243,45.9747474193573,0,0.675907258064516,3.5723504781723,0.801190344710328,0.682963709677419,0.703125,0.705645161290323,0.715221774193548,0.713709677419355,0.726310483870968,0.738911290322581,0.736895161290323,0.720262096774194,"CNN",0,"derma"
