model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,type,efficient,dataset,cnn,E_n,pepr_e,C_n,pepr_c,T_n,pepr_t,M_n,pepr_m
twins_pcpvt_base,43828456,25.435111424,8.361345024,0.776287232,7.932153856,0.076365631691,4.620120717293,47.8615486621857,0,0.669354838709677,4.29096162319183,0.685451649639704,0.669354838709677,0.668850806451613,0.669354838709677,0.66179435483871,0.680443548387097,0.678931451612903,0.690020161290323,0.681451612903226,0.686491935483871,Other,0,derma_pt,False,0.26960135939986374,0.5407145561094652,0.2451436329587253,0.5513355385776825,0.27119539326956993,0.5400365192625375,0.32157448928749377,0.519450050714873
swinv2_base_window8_256,87918816,25.435111424,14.168358912,1.448608768,13.46536448,0.155011858917,11.50963052462,95.0431334972382,0,0.669354838709677,8.09209418296814,0.69173018845249,0.694052419354839,0.669354838709677,0.690020161290323,0.679939516129032,0.67741935483871,0.691028225806452,0.667338709677419,0.690020161290323,0.691532258064516,Other,0,derma_pt,False,0.5927208289191683,0.4341829688595174,0.664322285704489,0.4155038143779936,0.5868978552973036,0.435776162754318,0.5975087194818136,0.43288167985012904
dpn107,86917800,25.435111424,16.571695104,1.399316992,14.540204032,0.175853598153,11.958044674387,107.481600046158,0,0.741935483870968,7.90373480319977,0.91237663841683,0.674395161290323,0.696572580645161,0.66179435483871,0.726814516129032,0.703629032258065,0.713709677419355,0.704133064516129,0.74445564516129,0.697076612903226,CNN,0,derma_pt,True,0.6783494974939992,0.4153345974387664,0.6916051613267237,0.4120799751855272,0.6701263972606972,0.41737955525195874,0.7117090184354757,0.4072401356746739
convnext_tiny_hnf,28589128,25.435111424,5.51550976,0.496233472,5.051563008,0.129557426638,6.801764898501,82.1651449203491,0,0.666834677419355,2.09316096305847,0.777226947758296,0.685483870967742,0.704133064516129,0.729838709677419,0.744959677419355,0.727822580645161,0.682459677419355,0.683971774193548,0.745463709677419,0.713709677419355,CNN,0,derma_pt,True,0.4881408262285057,0.47959821062644786,0.37788147559548796,0.5179761032137444,0.5007283738374849,0.47557552043501455,0.18634778276033878,0.6016024034358024
dpn98,61570728,25.435111424,12.127830016,0.9885952,10.185701888,0.122540816877,8.761668406701,75.3207125663757,0,0.719254032258065,5.31822021007538,0.912956621004566,0.71875,0.671370967741936,0.740927419354839,0.715725806451613,0.737399193548387,0.735887096774194,0.729334677419355,0.771673387096774,0.722278225806452,CNN,0,derma_pt,True,0.45931295610978795,0.4949440233381393,0.4971279437847419,0.48244255195753777,0.45493075697306884,0.49643477694369864,0.5005480817140009,0.48134294036178416
dla46x_c,1068440,25.435111424,3.001024512,0.038321152,2.267537408,0.018471027823,0.969728960727,11.8683469295502,0,0.629536290322581,0.831181740760803,0.893964501276408,0.667338709677419,0.688508064516129,0.676915322580645,0.777721774193548,0.717741935483871,0.756552419354839,0.688508064516129,0.784274193548387,0.730342741935484,CNN,0,derma_pt,True,0.031740315714934735,0.7078745793018661,0.023042737350122678,0.7138926999542679,0.030356887251181103,0.7088250207012404,0.06686596910812155,0.6845684116684646
gluon_resnet152_v1b,60192808,25.435111424,8.793358336,0.985241088,8.217822208,0.082470336212,5.896629039161,50.5035424232483,0,0.706653225806452,4.14617862701416,0.965606127427593,0.765625,0.79133064516129,0.738911290322581,0.769153225806452,0.757560483870968,0.758064516129032,0.773185483870968,0.763608870967742,0.730846774193548,CNN,0,derma_pt,True,0.2946826500856744,0.5644987782490055,0.3228102672394865,0.5524955409657648,0.28887356024817706,0.5670430341148599,0.34210264075734925,0.5445535624467074
vgg13,133047848,25.435111424,7.941914624,2.108507136,5.30769408,0.064597638795,6.298269782507,40.287074804306,0,0.670866935483871,2.99507989883423,0.799473412777191,0.70866935483871,0.701108870967742,0.738911290322581,0.733366935483871,0.750504032258065,0.756048387096774,0.711189516129032,0.741431451612903,0.732358870967742,CNN,0,derma_pt,True,0.2212523443741895,0.5996785794036917,0.3472473070858531,0.5435964630368139,0.22051290657783892,0.6000418897831913,0.30164424514200294,0.5626413466667655
maxxvit_rmlp_nano_rw_256,16779628,25.435111424,6.67942912,0.306484224,5.66371328,0.064081181951,3.300180870495,40.6238567829132,0,0.658266129032258,3.19593751430511,0.722708609550511,0.682459677419355,0.698084677419355,0.695060483870968,0.710181451612903,0.709173387096774,0.707661290322581,0.711693548387097,0.722782258064516,0.734879032258065,Other,0,derma_pt,False,0.21913047194179233,0.6027894874020931,0.16483449309832326,0.630887080192288,0.22276638958788555,0.6009970821210947,0.24165421026407571,0.5918548225288669
sebotnet33ts_256,13701984,25.435111424,6.786383872,0.24574464,5.310598656,0.039873085081,2.053463881664,24.9957239627838,0,0.726310483870968,2.06680181026459,0.823179039508785,0.750504032258065,0.764616935483871,0.788306451612903,0.784778225806452,0.796370967741936,0.71875,0.784274193548387,0.779233870967742,0.735383064516129,Other,0,derma_pt,False,0.11967106117783399,0.6567849165830413,0.08898045379096187,0.6752950082401491,0.11819508225558513,0.6576518500088011,0.24673642252117586,0.5898464593093561
res2net101_26w_4s,45206688,25.435111424,8.130658304,0.749280256,7.500149248,0.071164085405,5.05265006377,43.7271585464478,0,0.667842741935484,3.50098738670349,0.916514766270712,0.721774193548387,0.735383064516129,0.70866935483871,0.69758064516129,0.702620967741936,0.764616935483871,0.759576612903226,0.777217741935484,0.735383064516129,CNN,0,derma_pt,True,0.24823071091620968,0.5891403392697756,0.27146002901587496,0.5783768641829222,0.24353127085645665,0.5913667647534501,0.3106128550074738,0.5610986201657052
dla169,53389720,25.435111424,10.13972992,0.875867136,9.173154816,0.085300662659,6.013696717476,52.7634093761444,0,0.741935483870968,4.34725551605225,0.932073022404762,0.793850806451613,0.810987903225806,0.791834677419355,0.796370967741936,0.695564516129032,0.739415322580645,0.651209677419355,0.699596774193548,0.742943548387097,CNN,0,derma_pt,True,0.3063110982945512,0.5687340093466585,0.3299330195177354,0.5586323051491011,0.3039948318921591,0.5697442430113394,0.40607872446437465,0.5283797666948631
dpn131,79254504,25.435111424,16.313745408,1.272774144,13.76249088,0.164067239903,11.238605933348,100.39354300499,0,0.643649193548387,7.18452317714691,0.908243113728963,0.607358870967742,0.555947580645161,0.730342741935484,0.72883064516129,0.743447580645161,0.761088709677419,0.72883064516129,0.748991935483871,0.742943548387097,CNN,0,derma_pt,True,0.6299250280739908,0.4558145531791729,0.6478323283334223,0.45086113168958886,0.6226986335110725,0.4578444407632069,0.6994519182859988,0.43716655963788664
